iter	RMSE
0	1.451060068
1	1.428624096
2	1.413031255
3	1.393254487
4	1.373879641
5	1.359330342
6	1.342470633
7	1.320969009
8	1.30379713
9	1.287818381
10	1.270782919
11	1.252061337
12	1.236946393
13	1.219883711
14	1.20475337
15	1.185983723
16	1.171764417
17	1.154632687
18	1.141474608
19	1.12694854
20	1.113525683
21	1.097179812
22	1.08279259
23	1.071764831
24	1.060788021
25	1.04403523
26	1.028263718
27	1.013094531
28	1.0019672
29	0.9901371624
30	0.9782787492
31	0.9652646865
32	0.9547049397
33	0.9443930085
34	0.9343710333
35	0.9238467096
36	0.9131259195
37	0.9020472074
38	0.8921522788
39	0.8799381374
40	0.867973532
41	0.855947732
42	0.8454679238
43	0.8337671407
44	0.8241552365
45	0.8129151195
46	0.8016444905
47	0.7916219861
48	0.7831151189
49	0.7725142403
50	0.7645531499
51	0.7569300311
52	0.7481987588
53	0.738855787
54	0.7282230427
55	0.7205033677
56	0.7111820138
57	0.7035038063
58	0.6937354364
59	0.6859627147
60	0.6777172172
61	0.6692826458
62	0.6617525492
63	0.6547090308
64	0.6478936299
65	0.6408355348
66	0.6341991828
67	0.6265351565
68	0.6195841762
69	0.6126344259
70	0.6045548495
71	0.5966045141
72	0.5901241914
73	0.5839283023
74	0.5769361058
75	0.5706960084
76	0.5654453774
77	0.5598692519
78	0.554866398
79	0.5506641402
80	0.54522805
81	0.5405795052
82	0.5350159801
83	0.5300640793
84	0.5249143973
85	0.5188444344
86	0.5145480125
87	0.5085428947
88	0.5026088517
89	0.4975033046
90	0.4922490229
91	0.4880735144
92	0.483890832
93	0.4797666401
94	0.4752210354
95	0.4706174149
96	0.4662384833
97	0.46065262
98	0.4571999884
99	0.4533991713
100	0.4493133975
101	0.4447083132
102	0.4411014572
103	0.4370337765
104	0.4324379747
105	0.4292625776
106	0.4253834282
107	0.4212454961
108	0.4177034292
109	0.4136539086
110	0.4104254305
111	0.406405369
112	0.402213815
113	0.3989992566
114	0.395730444
115	0.3923039237
116	0.3888361299
117	0.3850084035
118	0.3819210134
119	0.3790414004
120	0.3756785117
121	0.3725308017
122	0.369430457
123	0.3664440951
124	0.363096174
125	0.360059323
126	0.3572421729
127	0.3539813037
128	0.3510816497
129	0.3479238779
130	0.3448284999
131	0.3428867314
