GP;date;year;month;day;T;P;Q_obs;Q_sim
76075 Kosa;01.01.2008;2008;1;1;-6.5;0.6;10.6;0
76075 Kosa;02.01.2008;2008;1;2;-16.1;0;10.6;0
76075 Kosa;03.01.2008;2008;1;3;-13.8;0.9;10.6;0
76075 Kosa;04.01.2008;2008;1;4;-13.2;0.7;10.6;0
76075 Kosa;05.01.2008;2008;1;5;-11.7;0.4;10.2;0
76075 Kosa;06.01.2008;2008;1;6;-11.8;0.2;10.4;0
76075 Kosa;07.01.2008;2008;1;7;-18.5;0;10.4;0
76075 Kosa;08.01.2008;2008;1;8;-23.1;0;10.4;0
76075 Kosa;09.01.2008;2008;1;9;-27.1;0;9.9;0
76075 Kosa;10.01.2008;2008;1;10;-24;0;9.9;0
76075 Kosa;11.01.2008;2008;1;11;-25.4;0;9.57;0
76075 Kosa;12.01.2008;2008;1;12;-21.6;1.8;9.57;0
76075 Kosa;13.01.2008;2008;1;13;-14.4;6.5;9.72;0
76075 Kosa;14.01.2008;2008;1;14;-9.8;3.9;9.72;0
76075 Kosa;15.01.2008;2008;1;15;-6.8;4.8;9.38;0
76075 Kosa;16.01.2008;2008;1;16;-4.4;2.6;9.24;0
76075 Kosa;17.01.2008;2008;1;17;-2.7;0;9.1;0
76075 Kosa;18.01.2008;2008;1;18;-6.4;0.3;8.96;0
76075 Kosa;19.01.2008;2008;1;19;-7.8;0;8.96;0
76075 Kosa;20.01.2008;2008;1;20;-8.5;0;8.82;0
76075 Kosa;21.01.2008;2008;1;21;-11.1;0;8.96;0
76075 Kosa;22.01.2008;2008;1;22;-10.6;0.5;8.96;0
76075 Kosa;23.01.2008;2008;1;23;-9.8;5.9;9.1;0
76075 Kosa;24.01.2008;2008;1;24;-7.7;1;8.91;0
76075 Kosa;25.01.2008;2008;1;25;-11.4;4.1;8.91;0
76075 Kosa;26.01.2008;2008;1;26;-11.6;1.7;8.91;0
76075 Kosa;27.01.2008;2008;1;27;-7.4;2.2;9.05;0
76075 Kosa;28.01.2008;2008;1;28;-6.5;2.8;9.18;0
76075 Kosa;29.01.2008;2008;1;29;-7.4;1.6;9.18;0
76075 Kosa;30.01.2008;2008;1;30;-6.2;0;9.45;0
76075 Kosa;31.01.2008;2008;1;31;-7;1.2;9.45;0
76075 Kosa;01.02.2008;2008;2;1;-5.8;4.5;9.23;0
76075 Kosa;02.02.2008;2008;2;2;-6.3;0;9.49;0
76075 Kosa;03.02.2008;2008;2;3;-6.5;0.3;9.62;0
76075 Kosa;04.02.2008;2008;2;4;-4.8;3.1;9.88;0
76075 Kosa;05.02.2008;2008;2;5;-4.2;0.3;10;0
76075 Kosa;06.02.2008;2008;2;6;-7.6;0.5;10.1;0
76075 Kosa;07.02.2008;2008;2;7;-18.7;0;10.3;0
76075 Kosa;08.02.2008;2008;2;8;-18.4;0;10.4;0
76075 Kosa;09.02.2008;2008;2;9;-10.8;4.3;10.5;0
76075 Kosa;10.02.2008;2008;2;10;-5.1;4.7;10.5;0
76075 Kosa;11.02.2008;2008;2;11;-3.2;5.5;10.5;0
76075 Kosa;12.02.2008;2008;2;12;-2.2;1.8;10.3;0
76075 Kosa;13.02.2008;2008;2;13;-1.6;0;10.3;0
76075 Kosa;14.02.2008;2008;2;14;-2.7;0.5;10.3;0
76075 Kosa;15.02.2008;2008;2;15;-5.9;0.3;10.3;0
76075 Kosa;16.02.2008;2008;2;16;-9.8;1.6;10.4;0
76075 Kosa;17.02.2008;2008;2;17;-17.6;0.2;10.4;0
76075 Kosa;18.02.2008;2008;2;18;-19.1;0.4;10.4;0
76075 Kosa;19.02.2008;2008;2;19;-14.5;2.9;10.4;0
76075 Kosa;20.02.2008;2008;2;20;-12.5;1.9;10.4;0
76075 Kosa;21.02.2008;2008;2;21;-15.7;0;10.4;0
76075 Kosa;22.02.2008;2008;2;22;-13.6;0.6;10.4;0
76075 Kosa;23.02.2008;2008;2;23;-5;3.4;10.5;0
76075 Kosa;24.02.2008;2008;2;24;-0.6;6.6;10.5;0
76075 Kosa;25.02.2008;2008;2;25;-12.3;1;10.5;0
76075 Kosa;26.02.2008;2008;2;26;-12;1.2;10.5;0
76075 Kosa;27.02.2008;2008;2;27;-11.8;0;10.5;0
76075 Kosa;28.02.2008;2008;2;28;-11.8;1.4;10.1;0
76075 Kosa;29.02.2008;2008;2;29;-1.5;2.8;10.1;0
76075 Kosa;01.03.2008;2008;3;1;-4.9;3.3;10.2;0
76075 Kosa;02.03.2008;2008;3;2;-10.5;0.9;10.2;0
76075 Kosa;03.03.2008;2008;3;3;-0.3;9.9;10.2;0
76075 Kosa;04.03.2008;2008;3;4;1.3;1.3;9.89;0
76075 Kosa;05.03.2008;2008;3;5;0.2;7.2;9.89;0
76075 Kosa;06.03.2008;2008;3;6;-3.5;0.8;9.89;0
