iter	RMSE
0	1.404742847
1	1.385104608
2	1.364645492
3	1.344591656
4	1.324590764
5	1.305797311
6	1.289110532
7	1.274001416
8	1.258954993
9	1.245462881
10	1.229082003
11	1.214247954
12	1.200123736
13	1.188382847
14	1.174527085
15	1.160051133
16	1.147044759
17	1.135437242
18	1.122193111
19	1.109001112
20	1.09704963
21	1.085325059
22	1.07648813
23	1.067257016
24	1.056318366
25	1.045349163
26	1.034811682
27	1.024665801
28	1.015307442
29	1.007799631
30	0.9987095423
31	0.9908950038
32	0.9851166968
33	0.9770579848
34	0.9705674973
35	0.9632413127
36	0.9555940898
37	0.9502239277
38	0.9454697062
39	0.9392404467
40	0.933263865
41	0.928289677
42	0.9241198224
43	0.9195386941
44	0.9144706823
45	0.9084873496
46	0.9001557587
47	0.8937962553
48	0.8869078577
49	0.8841320284
50	0.8789965422
51	0.8749810927
52	0.8705702202
53	0.8657028732
54	0.8620346697
55	0.8567516514
56	0.852162744
57	0.8479987836
58	0.8442290124
59	0.840094285
60	0.8352882668
61	0.8306470121
62	0.8264715581
63	0.8234048255
64	0.8199955082
65	0.8144870532
66	0.8114592154
67	0.8079400382
68	0.804889971
69	0.8008905523
70	0.7983482701
71	0.7954141258
72	0.7907440149
73	0.7879688267
74	0.7850680574
75	0.7813930967
76	0.7785438729
77	0.7753378113
78	0.7720484377
79	0.7702896114
80	0.7673727865
81	0.7651991874
82	0.7623075932
83	0.759474049
84	0.7582431675
85	0.7559294603
86	0.7526684455
87	0.7499077678
88	0.7470367112
89	0.7441271469
90	0.7420547494
91	0.7398104378
92	0.7381090298
93	0.735941181
94	0.7340179344
95	0.730389611
96	0.7285122943
97	0.7270717878
98	0.7251390188
99	0.722599554
100	0.7200770328
101	0.7170957173
102	0.7150557956
103	0.7127623414
104	0.7105548595
105	0.7084119779
106	0.7055509696
107	0.7026787337
108	0.7009408751
109	0.6975282013
110	0.6954143517
111	0.6936209094
112	0.6924332969
113	0.6904112331
114	0.6880169989
115	0.6864825933
116	0.6849492345
117	0.6828074939
118	0.6816153744
119	0.6789953523
120	0.6769528569
121	0.6752499354
122	0.6728216826
123	0.6708694274
124	0.6681246058
125	0.6659373634
126	0.6644972238
127	0.6634692262
128	0.6610723475
129	0.6584885308
130	0.6571421268
131	0.6552592319
132	0.6537453893
133	0.6514682861
134	0.6496087182
135	0.646436952
136	0.6435136356
137	0.6405110765
138	0.6378582994
139	0.6361881759
140	0.6338972524
141	0.6316663637
142	0.6299306004
143	0.6292697985
144	0.62738465
145	0.6248602954
146	0.6233963401
147	0.6220824151
148	0.6210253702
149	0.6193143549
150	0.6183823428
151	0.6170407511
152	0.6152423322
153	0.6140207192
154	0.6129031137
155	0.6119530337
156	0.6097867678
157	0.608008664
158	0.605853281
159	0.6039351672
160	0.6025310019
161	0.60146044
162	0.6003966235
163	0.5990905403
164	0.5976573083
165	0.5963385633
166	0.5947264836
167	0.5931916945
168	0.5918739175
169	0.589807445
170	0.587827196
171	0.5864530967
172	0.5849181495
173	0.5837498479
174	0.5817694794
175	0.5803178249
176	0.5788040449
177	0.5769538725
178	0.5757973931
179	0.5736505297
180	0.5709846169
181	0.569740481
182	0.5678713451
183	0.5655443607
184	0.5637618913
185	0.562477828
186	0.5606290619
187	0.5593422531
188	0.5574092078
189	0.5560057173
190	0.5550715684
191	0.5523752886
192	0.5512573498
193	0.5502768477
194	0.5486978811
195	0.5477656472
196	0.5462480379
197	0.5443342111
198	0.5431496643
199	0.5420115668
200	0.5398508357
201	0.5387763242
202	0.5374234911
203	0.5365361037
204	0.5344968361
205	0.5335695177
206	0.5319600612
207	0.5308015931
208	0.528035266
209	0.5259659159
210	0.5247119213
211	0.5233918444
212	0.5223890799
213	0.5209205005
214	0.5198819425
215	0.5171652976
216	0.5158513247
217	0.5144320556
218	0.5125016317
219	0.5111026876
220	0.5103463433
221	0.5089680466
222	0.507751733
223	0.5067628617
224	0.5059603097
225	0.5046253179
226	0.5034958062
227	0.5024486518
228	0.5014257852
229	0.5006262387
230	0.4989947525
231	0.4976686811
232	0.4968957851
233	0.4963646221
234	0.4952653114
235	0.4940837412
236	0.4927399832
237	0.4912953229
238	0.4907432483
239	0.4898839687
240	0.4890699768
241	0.4879255927
242	0.4865158562
243	0.4851441038
244	0.4832940624
245	0.4821648213
246	0.4799324101
247	0.4782810904
248	0.4762702753
249	0.4753398134
250	0.4737242383
251	0.4715151184
252	0.4690155777
253	0.4680587095
254	0.4673669608
255	0.4664822065
256	0.4652212467
257	0.46424667
258	0.4629794786
259	0.4621657557
260	0.46125302
261	0.4603136257
262	0.4589370368
263	0.4575814455
264	0.4550092487
265	0.4535786229
266	0.4525360294
267	0.451542086
268	0.4503479073
269	0.4493971668
270	0.4483527577
271	0.447499898
272	0.4462776154
273	0.4450076221
274	0.4438093671
275	0.442275284
276	0.4410788499
277	0.4398394457
278	0.4383763839
279	0.4367409247
280	0.4347968457
281	0.4341567243
282	0.4326217104
283	0.4305892219
284	0.4294727847
285	0.427480795
286	0.4268114762
287	0.4254995192
288	0.4246022704
289	0.4235034235
290	0.4224173848
291	0.420746108
292	0.4199032853
293	0.4188602717
294	0.4180280932
295	0.4165394788
296	0.4152615008
297	0.4140855192
298	0.4118509307
299	0.4111261956
300	0.4108403068
301	0.4097858627
302	0.408375308
303	0.4070567786
304	0.4060948467
305	0.4036398459
306	0.4028525541
307	0.4017328291
308	0.4010411867
309	0.4001246003
310	0.3993716053
311	0.3980641964
312	0.3966985409
313	0.3952616552
314	0.3940841363
315	0.3928445835
316	0.3923126611
317	0.3911303654
318	0.390280735
319	0.3891359064
320	0.3879099558
321	0.3871415528
322	0.3860660323
323	0.385171978
324	0.3845947011
325	0.383734281
326	0.3833572125
327	0.382246728
328	0.3808558473
329	0.3803453011
330	0.3796609256
331	0.378467797
332	0.377750304
333	0.3772861133
334	0.3758280732
335	0.3750034711
336	0.3740285676
337	0.3727993582
338	0.3715120356
339	0.370557341
340	0.3692331204
341	0.3681760906
342	0.3673701395
343	0.3659597864
344	0.3648683239
345	0.3637524956
346	0.3622397918
347	0.361480066
348	0.3609760852
349	0.3599315739
350	0.3593470101
351	0.3584076787
352	0.3574842584
353	0.3568201743
354	0.3560019928
355	0.3551057264
356	0.3543942263
357	0.3531542471
358	0.3517040211
359	0.3508763261
360	0.3497394666
361	0.3485146405
362	0.3475939001
363	0.3469240592
364	0.3460219919
365	0.3449964058
366	0.3438624094
367	0.3428121333
368	0.3422688719
369	0.3412866254
370	0.3409132601
371	0.3403781508
372	0.3396071084
373	0.3380754385
374	0.3374453595
375	0.3367154868
376	0.3363741382
377	0.3357939677
378	0.3352833291
379	0.3341997641
380	0.3336499656
381	0.3329137091
382	0.3325799001
383	0.3305047876
384	0.3298398863
385	0.3288912414
386	0.328220089
387	0.3273785443
388	0.3267126778
389	0.3260168841
390	0.3246361211
391	0.3239677982
392	0.3227933411
393	0.3224879335
394	0.3219602172
395	0.320879582
396	0.3194340834
397	0.3189551455
398	0.3180636978
399	0.3177200175
400	0.316636327
401	0.3157656525
402	0.314400796
403	0.3133843173
404	0.3122324029
405	0.3114036382
406	0.3111710242
407	0.3105791946
408	0.3100483162
409	0.3090478981
410	0.3077896314
411	0.3071771751
412	0.3065609786
413	0.3055125332
414	0.3046348114
415	0.304124791
416	0.302690773
417	0.3022022511
418	0.3018205924
419	0.3001447219
420	0.2995669033
421	0.298510013
422	0.2982382687
423	0.2974931596
424	0.2967630771
425	0.2964935538
426	0.295695256
427	0.2947871627
428	0.2939252431
429	0.2930001968
430	0.2922521671
431	0.291570808
432	0.2911666142
433	0.2900513425
434	0.2888068346
435	0.2881194546
436	0.2877275254
437	0.2872164242
438	0.2867408206
439	0.2860851206
440	0.2858143738
441	0.2845922595
442	0.2841993702
443	0.2837272648
444	0.2836233701
445	0.2825921564
446	0.2821199846
447	0.2815666853
448	0.2806631929
449	0.2796604673
