iter	Passed	Remaining
0	7	7791
1	10	5445
2	23	7764
3	27	6739
4	30	6054
5	34	5685
6	36	5161
7	38	4791
8	40	4492
9	42	4252
10	45	4059
11	47	3898
12	51	3916
13	53	3780
14	55	3636
15	56	3504
16	58	3391
17	60	3307
18	62	3213
19	66	3237
20	68	3181
21	70	3142
22	72	3099
23	79	3245
24	82	3229
25	86	3245
26	90	3254
27	92	3220
28	94	3178
29	99	3212
30	102	3205
31	114	3448
32	117	3447
33	120	3410
34	122	3378
35	124	3345
36	128	3354
37	131	3337
38	134	3305
39	137	3290
40	139	3270
41	142	3251
42	145	3229
43	147	3198
44	149	3167
45	151	3134
46	152	3100
47	154	3069
48	156	3038
49	158	3020
50	160	2992
51	162	2963
52	164	2933
53	166	2908
54	167	2884
55	170	2871
56	172	2855
57	174	2833
58	176	2813
59	178	2793
60	180	2771
61	181	2751
62	183	2730
63	185	2709
64	187	2690
65	189	2675
66	190	2656
67	192	2638
68	194	2622
69	196	2609
70	198	2600
71	200	2590
72	202	2576
73	204	2561
74	206	2545
75	208	2532
76	210	2518
77	212	2506
78	213	2492
79	215	2478
80	217	2468
81	219	2461
82	221	2451
83	223	2439
84	225	2430
85	227	2419
86	229	2406
87	231	2396
88	232	2384
89	234	2373
90	237	2372
91	239	2366
92	242	2369
93	245	2363
94	247	2357
95	249	2348
96	251	2337
97	252	2326
98	254	2317
99	256	2306
100	258	2299
101	259	2287
102	261	2274
103	262	2262
104	264	2254
105	265	2242
106	267	2230
107	268	2218
108	269	2206
109	271	2194
110	272	2182
111	273	2171
112	275	2160
113	276	2149
114	277	2138
115	279	2128
116	280	2118
117	282	2108
118	284	2109
119	286	2098
120	287	2088
121	288	2078
122	290	2069
123	291	2059
124	292	2050
125	294	2043
126	295	2034
127	297	2025
128	298	2016
129	300	2008
130	301	1999
131	302	1990
132	304	1981
133	305	1973
134	306	1965
135	308	1956
136	309	1948
137	310	1940
138	312	1932
139	313	1924
140	314	1917
141	315	1909
142	317	1901
143	318	1894
144	319	1886
145	321	1879
146	322	1872
147	323	1865
148	325	1857
149	326	1850
150	327	1843
151	329	1836
152	330	1829
153	331	1823
154	333	1816
155	334	1809
156	336	1804
157	337	1798
158	338	1792
159	340	1786
160	341	1780
161	342	1774
162	344	1767
163	345	1761
164	346	1755
165	348	1749
166	349	1743
167	351	1738
168	352	1732
169	353	1727
170	355	1721
171	356	1716
172	357	1710
173	359	1704
174	360	1699
175	361	1693
176	363	1688
177	364	1683
178	365	1677
179	367	1672
180	368	1667
181	369	1662
182	371	1657
183	372	1652
184	373	1646
185	375	1641
186	376	1636
187	377	1631
188	379	1628
189	381	1625
190	382	1621
191	384	1618
192	386	1614
193	387	1610
194	389	1606
195	390	1602
196	391	1597
197	393	1593
198	394	1588
199	396	1584
200	397	1579
201	398	1574
202	399	1570
203	401	1565
204	402	1561
205	403	1556
206	405	1552
207	406	1548
208	408	1544
209	409	1540
210	410	1535
211	412	1531
212	413	1527
213	414	1523
214	416	1519
215	417	1515
216	418	1510
217	420	1506
218	421	1503
219	422	1499
220	424	1495
221	425	1491
222	426	1487
223	428	1483
224	429	1479
225	430	1475
226	432	1471
227	433	1467
228	434	1463
229	436	1460
230	437	1456
231	438	1452
232	440	1448
233	441	1444
234	442	1441
235	444	1437
236	445	1433
237	446	1430
238	448	1426
239	449	1422
240	450	1419
241	451	1415
242	453	1412
243	454	1408
244	456	1405
245	457	1402
246	458	1398
247	460	1395
248	461	1391
249	462	1388
250	464	1385
251	465	1381
252	466	1378
253	468	1375
254	469	1371
255	470	1368
256	472	1365
257	473	1361
258	474	1358
259	476	1355
260	477	1352
261	478	1349
262	480	1345
263	481	1342
264	482	1339
265	484	1336
266	485	1333
267	486	1329
268	488	1326
269	489	1323
270	490	1320
271	492	1317
272	493	1314
273	494	1311
274	496	1308
275	497	1305
276	498	1302
277	500	1298
278	501	1295
279	502	1292
280	504	1290
281	505	1287
282	506	1284
283	508	1281
284	509	1278
285	510	1275
286	512	1272
287	513	1269
288	514	1266
289	516	1263
290	517	1260
291	518	1258
292	520	1255
293	521	1252
294	522	1249
295	524	1246
296	525	1244
297	526	1241
298	528	1238
299	529	1235
300	530	1232
301	532	1230
302	533	1227
303	535	1225
304	536	1222
305	537	1219
306	539	1217
307	540	1214
308	541	1211
309	543	1208
310	544	1206
311	545	1203
312	547	1200
313	548	1198
314	549	1195
315	551	1192
316	552	1190
317	553	1187
318	555	1185
319	556	1182
320	557	1179
321	559	1177
322	560	1174
323	561	1171
324	563	1169
325	564	1166
326	565	1164
327	567	1161
328	568	1159
329	569	1156
330	570	1153
331	572	1151
332	573	1148
333	575	1146
334	576	1144
335	577	1141
336	579	1139
337	580	1136
338	581	1134
339	582	1131
340	584	1130
341	586	1127
342	587	1125
343	588	1123
344	590	1121
345	592	1119
346	594	1118
347	595	1116
348	597	1115
349	599	1114
350	601	1112
351	603	1111
352	605	1109
353	606	1107
354	608	1106
355	610	1105
356	612	1103
357	614	1101
358	615	1099
359	617	1097
360	619	1095
361	620	1093
362	622	1092
363	624	1090
364	625	1089
365	627	1087
366	629	1085
367	631	1084
368	633	1082
369	634	1081
370	636	1079
371	638	1078
372	640	1076
373	642	1075
374	644	1073
375	645	1071
376	647	1070
377	649	1068
378	651	1066
379	652	1065
380	654	1063
381	656	1062
382	658	1060
383	660	1059
384	662	1058
385	664	1056
386	665	1054
387	667	1053
388	669	1051
389	671	1050
390	673	1049
391	675	1047
392	677	1046
393	679	1044
394	680	1042
395	682	1041
396	684	1039
397	686	1038
398	688	1036
399	689	1034
400	691	1033
401	693	1031
402	695	1029
403	696	1027
404	727	1069
405	732	1072
406	736	1072
407	742	1077
408	745	1077
409	749	1079
410	753	1079
411	756	1079
412	760	1080
413	763	1080
414	767	1081
415	769	1080
416	771	1078
417	772	1076
418	782	1084
419	785	1085
420	788	1083
421	791	1083
422	793	1082
423	798	1084
424	800	1083
425	802	1081
426	804	1078
427	805	1076
428	806	1073
429	808	1071
430	809	1068
431	811	1066
432	812	1064
433	814	1061
434	815	1059
435	817	1057
436	818	1054
437	819	1051
438	821	1049
439	822	1046
440	824	1044
441	825	1042
442	827	1040
443	828	1037
444	829	1035
445	831	1033
446	833	1030
447	834	1028
448	835	1025
449	837	1023
450	838	1021
451	840	1019
452	842	1017
453	843	1014
454	845	1012
455	846	1009
456	847	1007
457	849	1004
458	850	1002
459	851	999
460	853	997
461	854	995
462	856	993
463	857	990
464	858	988
465	860	985
466	861	983
467	862	981
468	864	978
469	865	976
470	866	973
471	868	971
472	869	969
473	871	967
474	873	964
475	875	963
476	877	961
477	878	959
478	880	957
479	881	955
480	883	953
481	886	952
482	889	952
483	892	951
484	894	949
485	896	948
486	898	946
487	900	944
488	902	943
489	904	941
490	906	939
491	907	937
492	909	935
493	912	935
494	916	935
495	919	934
496	922	934
497	924	932
498	926	930
499	927	927
500	929	925
501	930	923
502	934	923
503	937	922
504	938	920
505	941	918
506	942	916
507	944	915
508	948	915
509	953	916
510	956	915
511	958	913
512	1002	951
513	1004	950
514	1006	947
515	1008	945
516	1011	945
517	1014	944
518	1019	944
519	1020	942
520	1022	939
521	1023	937
522	1025	935
523	1027	933
524	1028	930
525	1030	929
526	1033	927
527	1035	925
528	1037	923
529	1038	921
530	1040	918
531	1042	916
532	1043	914
533	1045	912
534	1047	910
535	1048	907
536	1050	905
537	1052	903
538	1053	901
539	1055	899
540	1057	897
541	1058	894
542	1060	892
543	1062	890
544	1064	888
545	1065	886
546	1067	884
547	1069	882
548	1072	880
549	1074	879
550	1076	877
551	1078	875
552	1080	873
553	1082	871
554	1083	868
555	1085	866
556	1087	865
557	1090	863
558	1092	861
559	1095	860
560	1097	859
561	1099	857
562	1102	855
563	1104	853
564	1106	851
565	1108	849
566	1110	847
567	1112	845
568	1114	843
569	1116	841
570	1118	840
571	1120	838
572	1121	835
573	1123	833
574	1125	831
575	1127	829
576	1129	827
577	1131	825
578	1132	823
579	1134	821
580	1136	819
581	1138	817
582	1140	815
583	1142	813
584	1145	812
585	1147	810
586	1149	808
587	1151	806
588	1153	804
589	1155	802
590	1157	800
591	1159	798
592	1161	797
593	1163	795
594	1165	793
595	1167	791
596	1169	789
597	1171	787
598	1173	785
599	1175	783
600	1177	781
601	1179	779
602	1180	777
603	1182	775
604	1183	773
605	1185	770
606	1187	768
607	1189	767
608	1191	764
609	1194	763
610	1195	761
611	1198	759
612	1199	757
613	1200	755
614	1202	752
615	1203	750
616	1205	748
617	1207	746
618	1209	744
619	1210	741
620	1211	739
621	1213	737
622	1214	734
623	1215	732
624	1217	730
625	1218	728
626	1219	725
627	1221	723
628	1223	721
629	1224	719
630	1226	717
631	1227	714
632	1229	712
633	1230	710
634	1231	708
635	1233	705
636	1234	703
637	1235	701
638	1238	699
639	1239	697
640	1240	694
